Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C20, C24, C25, C26",Capacitor_0402_1005M-nosilk,7,4.7uF,C368809
"C10, C2, C3, C4",Capacitor_0402_1005M-nosilk,4,100nF,C1525
C11,Capacitor_0402_1005M-nosilk,1,100pF,C26409
C12,Capacitor_0402_1005M-nosilk,1,1nF,C14442
"C15, C23, C8",Capacitor_0402_1005M-nosilk,3,1uF,C52923
C16,Capacitor_0402_1005M-nosilk,1,47nF,C307434
"C17, C18, C6, C7",Capacitor_0402_1005M-nosilk,4,15pF,C307341
C19,Capacitor_0402_1005M-nosilk,1,100nF,C15195
C21,Capacitor_0603_1608M-nosilk,1,10uF,C19702
C22,Capacitor_0402_1005M-nosilk,1,1.5pF,C170150
"C5, C9",Capacitor_0402_1005M-nosilk,2,1pF,C371977
D1,0603,1,BLUE,C146215
D3,0603,1,ORANGE,C160478
D5,D_SOD-323F-nosilk,1,PMEG4010CEJ,C50704
F1,0402,1,500mA hold,C206938
J1,USB-C_C168688,1,USB_C_Receptacle_USB2.0,C168688
L1,Inductor_0402_1005M-nosilk,1,3.9nH,C76775
L2,Inductor_0402_1005M-nosilk,1,15nH,C76763
"L3, L4",Inductor_0603_1608M-nosilk,2,10uH,C76732
NT1,net-tie-2-tiny,1,NetTie_2,
R1,Resistor_0402_1005M-nosilk,1,3.9k,C131467
"R10, R9",Resistor_0402_1005M-nosilk,2,5.1k,C105872
R11,Resistor_0402_1005M-nosilk,1,0R,C106231
R2,Resistor_0402_1005M-nosilk,1,2M,C138014
"R3, R4",Resistor_0402_1005M-nosilk,2,3.9k,C114759
R5,Resistor_0402_1005M-nosilk,1,1.5k,C114759
"R6, R7, R8",Resistor_0402_1005M-nosilk,3,10k,C60490
U1,AQFN-73-1EP_7x7mm_P0.5mm_NRF52840-custom,1,nRF52840,C1851953
U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,
U3,SOT-23-5,1,XC6220B331MR,C86534
U4,mikoto-pins,1,mikoto-pins,
U5,UDFN-6_1.2x1.0mm_P0.4mm,1,ESDR0502NMUTAG,C327480
U6,TDFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.2mm,1,MAX17048,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz,C255896
Y2,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768 kHz,C97607
